[2019-06-10 15:24:44] [INFO   ] 28 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 30 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 29 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 24 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 22 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 23 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 21 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:44] [INFO   ] 14 monkey waiting. Living time: 3.019s. 
[2019-06-10 15:24:44] [INFO   ] 15 monkey waiting. Living time: 3.015s. 
[2019-06-10 15:24:44] [INFO   ] 20 monkey waiting. Living time: 3.012s. 
[2019-06-10 15:24:44] [INFO   ] 19 monkey waiting. Living time: 3.011s. 
[2019-06-10 15:24:44] [INFO   ] 18 monkey crossing L->R. Position: 3. Living time: 3.006s. Supposed speed: 1/s. 
[2019-06-10 15:24:44] [INFO   ] 11 monkey waiting. Living time: 3.032s. 
[2019-06-10 15:24:44] [INFO   ] 13 monkey waiting. Living time: 3.03s. 
[2019-06-10 15:24:44] [INFO   ] 16 monkey crossing L->R. Position: 2. Living time: 3.025s. Supposed speed: 1/s. 
[2019-06-10 15:24:44] [INFO   ] 12 monkey waiting. Living time: 3.023s. 
[2019-06-10 15:24:44] [INFO   ] 2 monkey crossing L->R. Position: 6. Living time: 6.043s. Supposed speed: 1/s. 
[2019-06-10 15:24:44] [INFO   ] 9 monkey crossing L->R. Position: 4. Living time: 6.038s. Supposed speed: 3/s. 
[2019-06-10 15:24:44] [INFO   ] 17 monkey waiting. Living time: 3.035s. 
[2019-06-10 15:24:44] [INFO   ] 6 monkey crossing L->R. Position: 5. Living time: 6.055s. Supposed speed: 2/s. 
[2019-06-10 15:24:44] [INFO   ] 1 monkey crossing L->R. Position: 6. Living time: 6.052s. Supposed speed: 1/s. 
[2019-06-10 15:24:44] [INFO   ] 5 monkey crossing L->R. Position: 6. Living time: 6.046s. Supposed speed: 1/s. 
[2019-06-10 15:24:44] [INFO   ] 3 monkey crossing L->R. Position: 3. Living time: 6.061s. Supposed speed: 4/s. 
[2019-06-10 15:24:44] [INFO   ] 4 monkey waiting. Living time: 6.06s. 
[2019-06-10 15:24:44] [INFO   ] 7 monkey crossing L->R. Position: 5. Living time: 6.058s. Supposed speed: 3/s. 
[2019-06-10 15:24:44] [INFO   ] 10 monkey crossing L->R. Position: 4. Living time: 6.069s. Supposed speed: 3/s. 
[2019-06-10 15:24:44] [INFO   ] 8 monkey waiting. Living time: 6.066s. 
[2019-06-10 15:24:45] [INFO   ] 26 monkey crossing L->R. Position: 1. Living time: 1.0s. Supposed speed: 3/s. 
[2019-06-10 15:24:45] [INFO   ] 25 monkey crossing L->R. Position: 1. Living time: 1.0s. Supposed speed: 4/s. 
[2019-06-10 15:24:45] [INFO   ] 27 monkey crossing L->R. Position: 1. Living time: 1.0s. Supposed speed: 1/s. 
[2019-06-10 15:24:45] [INFO   ] 30 monkey waiting. Living time: 1.004s. 
[2019-06-10 15:24:45] [INFO   ] 22 monkey waiting. Living time: 1.014s. 
[2019-06-10 15:24:45] [INFO   ] 23 monkey waiting. Living time: 1.016s. 
